"Date","Price","Open","High","Low","Change %"
"Sep 29, 2016","2.9997","2.9799","3.0106","2.9766","0.67%"
"Sep 28, 2016","2.9798","2.9741","2.9898","2.9705","0.17%"
"Sep 27, 2016","2.9746","2.9805","2.9860","2.9638","-0.21%"
"Sep 26, 2016","2.9810","2.9917","2.9991","2.9720","0.47%"
"Sep 23, 2016","2.9672","2.9425","2.9683","2.9406","0.79%"
"Sep 22, 2016","2.9440","2.9556","2.9585","2.9378","-0.38%"
"Sep 21, 2016","2.9551","2.9779","2.9886","2.9493","-0.77%"
"Sep 20, 2016","2.9781","2.9762","2.9823","2.9703","0.03%"
"Sep 19, 2016","2.9771","2.9836","2.9851","2.9701","-0.13%"
"Sep 16, 2016","2.9809","2.9682","2.9860","2.9610","0.41%"
"Sep 15, 2016","2.9687","2.9798","2.9890","2.9625","-0.36%"
"Sep 14, 2016","2.9794","2.9841","2.9882","2.9725","-0.17%"
"Sep 13, 2016","2.9846","2.9677","2.9897","2.9615","0.58%"
"Sep 12, 2016","2.9675","2.9693","2.9939","2.9615","0.15%"
"Sep 09, 2016","2.9630","2.9528","2.9797","2.9470","0.40%"
"Sep 08, 2016","2.9512","2.9363","2.9570","2.9289","0.50%"
"Sep 07, 2016","2.9364","2.9225","2.9440","2.9185","0.48%"
"Sep 06, 2016","2.9224","2.9457","2.9485","2.9196","-0.79%"
"Sep 05, 2016","2.9457","2.9491","2.9521","2.9401","-0.18%"
"Sep 02, 2016","2.9509","2.9611","2.9669","2.9411","-0.35%"
"Sep 01, 2016","2.9612","2.9580","2.9730","2.9536","0.11%"
"Aug 31, 2016","2.9580","2.9630","2.9669","2.9520","-0.17%"
"Aug 30, 2016","2.9631","2.9502","2.9679","2.9485","0.42%"
"Aug 29, 2016","2.9507","2.9569","2.9613","2.9475","-0.10%"
"Aug 26, 2016","2.9538","2.9339","2.9597","2.9220","0.66%"
"Aug 25, 2016","2.9344","2.9518","2.9545","2.9309","-0.59%"
"Aug 24, 2016","2.9517","2.9520","2.9691","2.9440","0.02%"
"Aug 23, 2016","2.9510","2.9429","2.9561","2.9295","0.31%"
"Aug 22, 2016","2.9419","2.9301","2.9518","2.9276","0.43%"
"Aug 19, 2016","2.9293","2.9267","2.9453","2.9240","0.07%"
"Aug 18, 2016","2.9273","2.9217","2.9360","2.9128","0.17%"
"Aug 17, 2016","2.9222","2.9290","2.9410","2.9173","-0.25%"
"Aug 16, 2016","2.9295","2.9402","2.9439","2.9141","-0.38%"
"Aug 15, 2016","2.9407","2.9572","2.9617","2.9387","-0.63%"
"Aug 12, 2016","2.9594","2.9573","2.9649","2.9425","0.07%"
"Aug 11, 2016","2.9573","2.9571","2.9710","2.9503","-0.01%"
"Aug 10, 2016","2.9576","2.9679","2.9707","2.9441","-0.36%"
"Aug 09, 2016","2.9682","2.9823","2.9891","2.9661","-0.55%"
"Aug 08, 2016","2.9845","3.0018","3.0055","2.9796","-0.47%"
"Aug 05, 2016","2.9987","3.0106","3.0206","2.9950","-0.41%"
"Aug 04, 2016","3.0111","3.0133","3.0285","3.0065","-0.09%"
"Aug 03, 2016","3.0139","2.9926","3.0231","2.9909","0.75%"
